node,year_construction,capacity_existing
CH,2000.0,0.0002571427428571
CH,2001.0,0.0005142854857142
CH,2002.0,0.0007714282285714
CH,2003.0,0.0010285709714285
CH,2004.0,0.0012857137142857
CH,2005.0,0.0015428564571428
CH,2006.0,0.0017999991999999
CH,2007.0,0.007
CH,2008.0,0.0119799996
CH,2009.0,0.0301300049
CH,2010.0,0.0458699951
CH,2011.0,0.0969999999999999
CH,2012.0,0.2135999908
CH,2013.0,0.330000022
CH,2014.0,0.3030299987999999
CH,2015.0,0.3370999755000001
CH,2016.0,0.2632839507
CH,2017.0,0.2404350893
CH,2018.0,0.27
CH,2019.0,0.33
CH,2020.0,0.4762999876999997
CH,2021.0,0.6830000000000003
DE,2000.0,0.1204202848285714
DE,2001.0,0.2408405696571428
DE,2002.0,0.3612608544857143
DE,2003.0,0.4816811393142857
DE,2004.0,0.6021014241428571
DE,2005.0,0.7225217089714286
DE,2006.0,0.8429419938
DE,2007.0,1.2707809906
DE,2008.0,1.9499201355
DE,2009.0,4.446428710799999
DE,2010.0,7.439790405400001
DE,2011.0,7.9102348633
DE,2012.0,8.1601430664
DE,2013.0,2.6328076172
DE,2014.0,1.19
DE,2015.0,1.324
DE,2016.0,1.4550683594000002
DE,2017.0,1.66
DE,2018.0,3.5903037109
DE,2019.0,3.832
DE,2020.0,4.885
DE,2021.0,5.933
