time,CH,DE
0,0.0,0.0
1,0.0,0.0
2,0.041079,0.080526
3,0.114516,0.012307
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.088764,0.055948
8,0.330341,0.383364
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.354035,0.265168
13,0.552021,0.368734
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.288004,0.172859
18,0.116422,0.022041
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.172641,0.096402
23,0.758602,0.564479
24,0.028509,0.046777
25,0.0,0.0
26,0.0,0.0
27,0.098853,0.089164
28,0.65527,0.623453
29,0.089937,0.113158
30,0.0,0.0
31,0.0,0.0
32,0.111228,0.119558
33,0.583393,0.535647
34,0.028881,0.089897
35,0.0,0.0
36,0.0,0.0
37,0.061496,0.027706
38,0.483143,0.552943
39,0.17896,0.172046
40,0.0,0.0
41,0.0,0.0
42,0.101753,0.113291
43,0.61265,0.542982
44,0.284105,0.287996
45,0.0,0.0
46,0.0,0.0
47,0.116631,0.082432
48,0.517714,0.567517
49,0.249754,0.279728
50,0.0,0.0
51,0.0,0.0
52,0.099941,0.06315
53,0.52535,0.515591
54,0.402851,0.405984
55,0.0,0.0
56,0.0,0.0
57,0.078305,0.033877
58,0.601575,0.500267
59,0.21322,0.307299
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.565054,0.511522
64,0.302487,0.331368
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.557112,0.383185
69,0.421417,0.388216
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.050275,0.171171
74,0.002859,0.095477
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.047608,0.21577
79,0.010299,0.201645
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.254352,0.047186
84,0.201626,0.203241
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.00209,0.015192
89,0.351434,0.310385
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.001517,0.015288
94,0.002521,0.072108
95,0.0,0.0
