time,CH,DE
0,0.036071,0.363334
1,0.044291,0.355414
2,0.207229,0.804847
3,0.054355,0.35884
4,0.016777,0.422613
5,0.013105,0.088195
6,0.040313,0.12967
7,0.195456,0.280602
8,0.021375,0.095002
9,0.06869,0.202785
10,0.083159,0.455633
11,0.057472,0.396284
12,0.01274,0.08125
13,0.013731,0.323606
14,0.145952,0.120947
15,0.053886,0.058774
16,0.103613,0.249402
17,0.046514,0.430536
18,0.499907,0.210776
19,0.177872,0.438883
20,0.085122,0.541202
21,0.05044,0.095539
22,0.157746,0.281068
23,0.010919,0.075812
24,0.032281,0.247256
25,0.011322,0.085366
26,0.02116,0.206604
27,0.072632,0.172474
28,0.027792,0.151015
29,0.02766,0.08817
30,0.029852,0.197404
31,0.026936,0.087579
32,0.105204,0.27539
33,0.060943,0.201877
34,0.05438,0.157385
35,0.229236,0.139411
36,0.024283,0.13644
37,0.104704,0.187508
38,0.02657,0.10902
39,0.030616,0.07852
40,0.011014,0.075503
41,0.200772,0.259555
42,0.035431,0.043038
43,0.032257,0.160479
44,0.060207,0.027654
45,0.017003,0.0684
46,0.038079,0.254949
47,0.078398,0.06119
48,0.041115,0.283666
49,0.009691,0.136814
50,0.122885,0.12337
51,0.035319,0.124581
52,0.019947,0.030975
53,0.012975,0.205626
54,0.014722,0.040159
55,0.022002,0.111863
56,0.014187,0.053803
57,0.049453,0.070031
58,0.025876,0.086913
59,0.038168,0.148249
60,0.037165,0.246115
61,0.024532,0.082079
62,0.018872,0.145435
63,0.014387,0.054762
64,0.009226,0.130029
65,0.031736,0.195591
66,0.064072,0.060837
67,0.014467,0.137597
68,0.029224,0.133069
69,0.04795,0.065349
70,0.012686,0.068644
71,0.062681,0.276634
72,0.089529,0.239553
73,0.079217,0.14552
74,0.042357,0.310839
75,0.049384,0.17082
76,0.051056,0.262982
77,0.033816,0.114113
78,0.045021,0.123367
79,0.043597,0.155394
80,0.025319,0.188897
81,0.102196,0.162101
82,0.022592,0.078013
83,0.066913,0.234723
84,0.01573,0.152608
85,0.038257,0.039497
86,0.032604,0.243929
87,0.213105,0.409319
88,0.011099,0.050613
89,0.009532,0.165193
90,0.270549,0.539808
91,0.098033,0.385814
92,0.063782,0.197014
93,0.131931,0.364378
94,0.089493,0.198055
95,0.083446,0.078355
