time,CH,DE,AT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.04356632704054605
8,0.07024231565843835,0.04971081956638995,0.12718730418458626
9,0.18622617796367344,0.1264666804721141,0.24602397473919846
10,0.30375255119712663,0.188577303335754,0.32393423411675054
11,0.38300623516581433,0.23778808159548045,0.3461725890059475
12,0.40997338446571785,0.23462262733593942,0.3263140166267753
13,0.3584382055748968,0.1862041031500628,0.2597961234611656
14,0.2451207116921436,0.11434011345037196,0.1595158346601086
15,0.11287994854291436,0.04860735174921755,0.05638761768711665
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.028205491544436197,0.046620864333329695,0.0695255828864978
31,0.16553843012608604,0.1735565807812513,0.19756786309589963
32,0.31992906396086607,0.30075202947410395,0.34152088170368633
33,0.4383935250228101,0.4071477869299357,0.4352798090133492
34,0.5088383613405347,0.4682779876953255,0.46598801143362645
35,0.5476692993153136,0.46724962997197483,0.46812001655643015
36,0.5440710804519922,0.44485794199888684,0.44059096427274946
37,0.4939322669665659,0.38952928978983703,0.38621808854416295
38,0.41506028628975816,0.32420202350153854,0.29861585689875264
39,0.28291011419531176,0.2223787370877866,0.19028051444337696
40,0.15718313467232664,0.10415417283900966,0.0816248054327262
41,0.03954366666437085,0.0074998191975989,0.00135658706403125
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.01586716505231885
54,0.0718632487574855,0.08073394635796324,0.13898094243639864
55,0.2109344889044086,0.22341951973693094,0.2851167218091072
56,0.3668110085549681,0.3545434430157365,0.39928383358922825
57,0.48965311563977615,0.4594422874477247,0.4814971991410232
58,0.5694856175572991,0.5142344459509686,0.5264764586453494
59,0.5954085221154535,0.5269801780598116,0.5323467122652736
60,0.5784970406484347,0.5103252306740274,0.5026240318291566
61,0.5347054577990968,0.46712250454290416,0.43542188324464337
62,0.44542689857494916,0.38774180570631933,0.34975405933363657
63,0.3251983722481582,0.2773758473004772,0.2361869010135442
64,0.1997664802957784,0.15547532606599015,0.12340541451739931
65,0.06866452845878705,0.0435285881207197,0.025530944456376298
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0028566996461502,0.0190660506914775
79,0.0441355650731683,0.0512977583742788,0.0926663068752216
80,0.120772007548848,0.1361628451703345,0.2123214137348138
81,0.2572649483231682,0.2233754203471988,0.3091286765350928
82,0.3472800694224169,0.3023405590532878,0.3645119459505567
83,0.3838781983402124,0.3308348863041985,0.354483697855584
84,0.4014263363797822,0.2913632723052959,0.3281664726165606
85,0.3292806498044865,0.2589813106794856,0.2575394801291574
86,0.2175266629930067,0.158765680542665,0.1583733209904415
87,0.1111846334614972,0.0728291113582135,0.0754262703052954
88,0.0179981409646138,0.0081783775205655,0.00296910924321
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
