time,AT,CH,DE,FR,IT
0,0.188978156,0.109191701,0.38967588,0.195098837,0.187990471
1,0.187970665,0.113454417,0.390302721,0.209809237,0.187102913
2,0.190183866,0.116097699,0.381045082,0.223868932,0.187425127
3,0.192979561,0.117049798,0.387311099,0.22913339,0.188134034
4,0.19529378,0.116170968,0.395679383,0.253617572,0.190135695
5,0.1966682,0.110788126,0.407490701,0.236531599,0.189582201
6,0.195001294,0.105933565,0.411424134,0.228060415,0.190396731
7,0.190283374,0.102777271,0.398011376,0.211565526,0.189572358
8,0.192911932,0.09891073,0.395552575,0.195694381,0.189461055
9,0.195490474,0.096904497,0.388760413,0.188700876,0.191098396
10,0.197304491,0.097407817,0.395980997,0.185224677,0.19063451
11,0.202108714,0.103279592,0.419365857,0.19445281,0.190560572
12,0.199840693,0.105974337,0.44102446,0.22380642,0.190540938
13,0.19462197,0.105636268,0.449157336,0.229582313,0.210859211
14,0.191076394,0.102542616,0.432077317,0.225578176,0.2049877
15,0.183575736,0.097530722,0.386920805,0.192187509,0.187598843
16,0.18161967,0.095598295,0.371188996,0.179495243,0.186244008
17,0.18251391,0.094720521,0.360877008,0.171532378,0.186919881
18,0.182310867,0.094836853,0.35731867,0.172642359,0.185959589
19,0.182864339,0.094897966,0.357358306,0.176468599,0.186131598
20,0.183757136,0.095171301,0.357085236,0.177067607,0.18651912
21,0.185202025,0.095444808,0.358519325,0.184985017,0.18727846
22,0.181541163,0.096915763,0.358831204,0.185273481,0.188339425
23,0.17928167,0.097302559,0.358504023,0.193626549,0.190250162
24,0.178555157,0.098269095,0.361787084,0.200593576,0.193540337
25,0.17921721,0.101474864,0.367895162,0.215627819,0.196733081
26,0.183147406,0.106017253,0.368224574,0.228500367,0.20194365
27,0.188054422,0.10118688,0.36678842,0.229429472,0.209736505
28,0.188380075,0.099705803,0.366203991,0.241707664,0.216592994
29,0.187235919,0.104070444,0.370157077,0.245880826,0.225203442
30,0.185576102,0.108839614,0.375125131,0.271411072,0.230084347
31,0.183811659,0.113041144,0.38283809,0.296676012,0.23674859
32,0.189466696,0.129175354,0.382016156,0.308081596,0.259327371
33,0.193218513,0.148145965,0.385671668,0.310803982,0.287959529
34,0.197274778,0.16486081,0.386103367,0.306800886,0.322802748
35,0.197582232,0.16668375,0.392654687,0.303057251,0.350838339
