constraint,cluster,description,shadow_price_unit,shadow_price,shadow_price_input_units,index_0,index_1,index_2,index_3
constraint_carbon_emissions_annual_limit,CO2_cap,Annual CO2 emissions limit,Euro/tCO2,-244.27029726253056,-244.27029726253056,0,,,
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-200.3489208390256,-200.3489208390256,carbon_storage,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-130.7304403289171,-130.7304403289171,carbon_storage,power,DK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-309.56736848796857,-309.56736848796857,carbon_storage,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-155.37675373686568,-155.37675373686568,carbon_storage,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-182.4357935388397,-182.4357935388397,carbon_storage,power,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-192.0941885449677,-192.0941885449677,carbon_storage,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-80.05353211275352,-80.05353211275352,carbon_storage,power,UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-22.14390212188903,-22.14390212188903,district_heating_grid,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-91.90265230747397,-91.90265230747397,nuclear,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-98.32484886906632,-98.32484886906632,nuclear,power,BG,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-147.77439968158058,-147.77439968158058,nuclear,power,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-172.81625548060867,-172.81625548060867,nuclear,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-55.180928557987386,-55.180928557987386,nuclear,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-100.93276066133608,-100.93276066133608,nuclear,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-122.75847277558529,-122.75847277558529,nuclear,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-34.139641656313444,-34.139641656313444,nuclear,power,SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.9714333756678462,-0.9714333756678462,photovoltaics,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.1302678912202855,-2.1302678912202855,photovoltaics,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-6.031423025923882,-6.031423025923882,photovoltaics,power,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-59.94170648435099,-59.94170648435099,reservoir_hydro,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-240.05961353233005,-240.05961353233005,reservoir_hydro,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-275.99535613788464,-275.99535613788464,reservoir_hydro,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-55.4055390051291,-55.4055390051291,reservoir_hydro,power,ES,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-117.44943179164241,-117.44943179164241,reservoir_hydro,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-140.8725502739781,-140.8725502739781,reservoir_hydro,power,HR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-145.91622374477026,-145.91622374477026,reservoir_hydro,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-56.637840427412925,-56.637840427412925,reservoir_hydro,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-83.28617290615598,-83.28617290615598,reservoir_hydro,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.689436342686573,-5.689436342686573,reservoir_hydro,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-80.66102698081951,-80.66102698081951,reservoir_hydro,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.4627432591059817,-2.4627432591059817,reservoir_hydro,power,SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-69.94373948672089,-69.94373948672089,run-of-river_hydro,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-183.76405723231946,-183.76405723231946,run-of-river_hydro,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-252.8358905587242,-252.8358905587242,run-of-river_hydro,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-40.13851387331384,-40.13851387331384,run-of-river_hydro,power,ES,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-98.37833991162857,-98.37833991162857,run-of-river_hydro,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-127.71272426270085,-127.71272426270085,run-of-river_hydro,power,HR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-115.7346147165524,-115.7346147165524,run-of-river_hydro,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-47.0805414869472,-47.0805414869472,run-of-river_hydro,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-72.38223025416596,-72.38223025416596,run-of-river_hydro,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-104.7340990012611,-104.7340990012611,run-of-river_hydro,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-63.066540794856145,-63.066540794856145,wind_offshore,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-92.17996707094603,-92.17996707094603,wind_offshore,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-16.328189425329153,-16.328189425329153,wind_onshore,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-107.5174460799063,-107.5174460799063,wind_onshore,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-22.978176787014487,-22.978176787014487,wind_onshore,power,CZ,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-82.774163891614,-82.774163891614,wind_onshore,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-13.365702838878974,-13.365702838878974,wind_onshore,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-16.749040838439345,-16.749040838439345,wind_onshore,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-8.499254514236368,-8.499254514236368,wind_onshore,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-65.30731405162707,-65.30731405162707,wind_onshore,power,LU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-74.6482021537438,-74.6482021537438,wind_onshore,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-92.12380727593549,-92.12380727593549,wind_onshore,power,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.27301215161284,-5.27301215161284,wind_onshore,power,UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.7026205336540166,-5.7026205336540166,power_line,power,AT-CZ,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-20.49506644723732,-20.49506644723732,power_line,power,AT-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-6.346799498378054,-6.346799498378054,power_line,power,BE-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-32.299923697698894,-32.299923697698894,power_line,power,BG-EL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-34.96651989192111,-34.96651989192111,power_line,power,BG-RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-14.510569320905388,-14.510569320905388,power_line,power,CH-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-151.31401056250897,-151.31401056250897,power_line,power,CZ-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-117.00276754869996,-117.00276754869996,power_line,power,CZ-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.5816046809423746,-0.5816046809423746,power_line,power,DE-DK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-7.486480697041431,-7.486480697041431,power_line,power,DE-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-204.6194164392416,-204.6194164392416,power_line,power,DK-NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-3.825376546882559,-3.825376546882559,power_line,power,DK-NO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-142.8802425558922,-142.8802425558922,power_line,power,EE-FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-23.586143940682263,-23.586143940682263,power_line,power,EE-LV,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-9.605276642655891,-9.605276642655891,power_line,power,EL-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-30.02335960497368,-30.02335960497368,power_line,power,ES-FR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-253.88009780558045,-253.88009780558045,power_line,power,FR-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-12.812229465782545,-12.812229465782545,power_line,power,FR-UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-30.912005324677665,-30.912005324677665,power_line,power,HR-HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-82.84214807033952,-82.84214807033952,power_line,power,HU-SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.800343021610292,-2.800343021610292,power_line,power,HU-SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-57.69587021307386,-57.69587021307386,power_line,power,IE-UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-50.571463749493844,-50.571463749493844,power_line,power,IT-SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-339.99535927020725,-339.99535927020725,power_line,power,LT-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.5912980472246057,-1.5912980472246057,pumped_hydro,energy,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.8270151820741731,-1.8270151820741731,pumped_hydro,energy,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.8964065986149958,-0.8964065986149958,pumped_hydro,energy,BG,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.8538204909481695,-0.8538204909481695,pumped_hydro,energy,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.017717285957658,-1.017717285957658,pumped_hydro,energy,CZ,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.0022970380208394,-2.0022970380208394,pumped_hydro,energy,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.7016854259414909,-0.7016854259414909,pumped_hydro,energy,EL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.7271984935172067,-1.7271984935172067,pumped_hydro,energy,ES,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.5379342744256848,-1.5379342744256848,pumped_hydro,energy,HR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.21346261159102264,-0.21346261159102264,pumped_hydro,energy,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-4.81104008450852,-4.81104008450852,pumped_hydro,energy,LU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.3345750339768134,-2.3345750339768134,pumped_hydro,energy,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.18783121741761605,-0.18783121741761605,pumped_hydro,energy,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.8030159819587084,-1.8030159819587084,pumped_hydro,power,BG,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-8.712018064498153,-8.712018064498153,pumped_hydro,power,IT,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-257.7832315886053,-257.7832315886053,carbon_storage,power,AT,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-160.02925295097307,-160.02925295097307,carbon_storage,power,BE,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-234.31317666783445,-234.31317666783445,carbon_storage,power,BG,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-251.21108634859695,-251.21108634859695,carbon_storage,power,CH,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-230.88643702155497,-230.88643702155497,carbon_storage,power,CZ,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-142.74761295700657,-142.74761295700657,carbon_storage,power,EE,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-287.1632100139757,-287.1632100139757,carbon_storage,power,EL,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-298.8312586066271,-298.8312586066271,carbon_storage,power,ES,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-53.30446792370869,-53.30446792370869,carbon_storage,power,FI,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-192.51543521770645,-192.51543521770645,carbon_storage,power,FR,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-292.7774363176992,-292.7774363176992,carbon_storage,power,HR,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-250.54381895015877,-250.54381895015877,carbon_storage,power,HU,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-125.88805975395417,-125.88805975395417,carbon_storage,power,IE,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-147.18335873935854,-147.18335873935854,carbon_storage,power,LT,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-177.4934912138987,-177.4934912138987,carbon_storage,power,LU,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-169.31319169839628,-169.31319169839628,carbon_storage,power,LV,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-345.88717844377743,-345.88717844377743,carbon_storage,power,PT,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-31.601237935997737,-31.601237935997737,carbon_storage,power,SE,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-281.2435868325623,-281.2435868325623,carbon_storage,power,SI,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-229.7870058984921,-229.7870058984921,carbon_storage,power,SK,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-190.9555935639392,-190.9555935639392,lng_terminal,power,AT,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-26.481499938322486,-26.481499938322486,lng_terminal,power,BG,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-66.65309079076732,-66.65309079076732,lng_terminal,power,CH,0.0
constraint_technology_capacity_limit_reached,capacity_limit,Technology/node capacity upper bound (limit reached),Euro/GW,-39.89662296882307,-39.89662296882307,lng_terminal,power,CZ,0.0
