set_technologies,set_capacity_types,set_location,set_time_steps_yearly,scaling,constraint_type,component_year,raw_dual,coefficient,discount_factor,contribution_to_rc
BEV,power,AT,0,0.08024258719069129,lifetime,0,-570.8942426451517,1.0,1.0,-7114.604135188945
BEV,power,BE,0,0.08024258719069129,lifetime,0,-574.0261894984183,1.0,1.0,-7153.6351156560095
BEV,power,BG,0,0.08024258719069129,lifetime,0,-594.8513475592645,1.0,1.0,-7413.162615826916
BEV,power,CH,0,0.08024258719069129,lifetime,0,-582.568462462567,1.0,1.0,-7260.090718138624
BEV,power,CZ,0,0.08024258719069129,lifetime,0,-585.6979795690257,1.0,1.0,-7299.091418589889
BEV,power,DE,0,0.08024258719069129,lifetime,0,-576.7588422116734,1.0,1.0,-7187.690008561707
BEV,power,DK,0,0.08024258719069129,lifetime,0,-583.1348187240144,1.0,1.0,-7267.148768997596
BEV,power,EE,0,0.08024258719069129,lifetime,0,-553.7805399463992,1.0,1.0,-6901.329572417398
BEV,power,EL,0,0.08024258719069129,lifetime,0,-566.5364991847443,1.0,1.0,-7060.29701956652
BEV,power,ES,0,0.08024258719069129,lifetime,0,-569.7198423446981,1.0,1.0,-7099.96851161835
BEV,power,FI,0,0.08024258719069129,lifetime,0,-572.2759868320383,1.0,1.0,-7131.823721885507
BEV,power,FR,0,0.08024258719069129,lifetime,0,-575.2985025695051,1.0,1.0,-7169.490948769457
BEV,power,HR,0,0.08024258719069129,lifetime,0,-577.1793396390038,1.0,1.0,-7192.930335949596
BEV,power,HU,0,0.08024258719069129,lifetime,0,-592.4271799127206,1.0,1.0,-7382.952128710107
BEV,power,IE,0,0.08024258719069129,lifetime,0,-565.0301344456503,1.0,1.0,-7041.524385335346
BEV,power,IT,0,0.08024258719069129,lifetime,0,-576.7913770501779,1.0,1.0,-7188.095464562611
BEV,power,LT,0,0.08024258719069129,lifetime,0,-591.2811585013023,1.0,1.0,-7368.670168823958
BEV,power,LU,0,0.08024258719069129,lifetime,0,-564.9008724129621,1.0,1.0,-7039.9134946946815
BEV,power,LV,0,0.08024258719069129,lifetime,0,-580.8638261534655,1.0,1.0,-7238.84718189707
BEV,power,NL,0,0.08024258719069129,lifetime,0,-563.2035669511125,1.0,1.0,-7018.761317013569
BEV,power,NO,0,0.08024258719069129,lifetime,0,-594.1437326843819,1.0,1.0,-7404.344170414621
BEV,power,PL,0,0.08024258719069129,lifetime,0,-577.5579043214678,1.0,1.0,-7197.64808865072
BEV,power,PT,0,0.08024258719069129,lifetime,0,-566.1825669224676,1.0,1.0,-7055.886241267016
BEV,power,RO,0,0.08024258719069129,lifetime,0,-576.3362411640928,1.0,1.0,-7182.423465415781
BEV,power,SE,0,0.08024258719069129,lifetime,0,-583.3972827260726,1.0,1.0,-7270.419650598589
BEV,power,SI,0,0.08024258719069129,lifetime,0,-581.1426049060422,1.0,1.0,-7242.321381350711
BEV,power,SK,0,0.08024258719069129,lifetime,0,-584.464293849972,1.0,1.0,-7283.716967662454
BEV,power,UK,0,0.08024258719069129,lifetime,0,-578.7747184725057,1.0,1.0,-7212.812282548733
BF_BOF,power,AT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,BE,0,0.08024258719069129,lifetime,0,-53.05932206682547,1.0,1.0,-661.2364322293528
BF_BOF,power,BG,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,CH,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,CZ,0,0.08024258719069129,lifetime,0,-2.482801741438152,1.0,1.0,-30.941197540626842
BF_BOF,power,DE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,EE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,EL,0,0.08024258719069129,lifetime,0,-93.24761265548926,1.0,1.0,-1162.0713628524013
BF_BOF,power,ES,0,0.08024258719069129,lifetime,0,-6.112886602119147,1.0,1.0,-76.18007863570338
BF_BOF,power,FI,0,0.08024258719069129,lifetime,0,-60.362154495550925,1.0,1.0,-752.2458660524516
BF_BOF,power,FR,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,HR,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,HU,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,IE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,IT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,LT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,LU,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,LV,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,NL,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,NO,0,0.08024258719069129,lifetime,0,-102.7440091447342,1.0,1.0,-1280.4174533975302
BF_BOF,power,PL,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,PT,0,0.08024258719069129,lifetime,0,-107.07124883361587,1.0,1.0,-1334.3444246029608
BF_BOF,power,RO,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,SE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,SI,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
BF_BOF,power,SK,0,0.08024258719069129,lifetime,0,-4.665439043953427,1.0,1.0,-58.14168270604629
BF_BOF,power,UK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
DAC,power,AT,0,0.08024258719069129,lifetime,0,-301.73743468661405,1.0,1.0,-3760.3153792830067
DAC,power,BE,0,0.08024258719069129,lifetime,0,-355.5169602117302,1.0,1.0,-4430.527138499003
DAC,power,BG,0,0.08024258719069129,lifetime,0,-337.98146201830775,1.0,1.0,-4211.9960715513425
DAC,power,CH,0,0.08024258719069129,lifetime,0,-280.55376970851705,1.0,1.0,-3496.320090500064
DAC,power,CZ,0,0.08024258719069129,lifetime,0,-415.2852523271637,1.0,1.0,-5175.3721666559095
DAC,power,DE,0,0.08024258719069129,lifetime,0,-319.0808342176804,1.0,1.0,-3976.452472293865
DAC,power,DK,0,0.08024258719069129,lifetime,0,-723.9212195918301,1.0,1.0,-9021.65850998147
DAC,power,EE,0,0.08024258719069129,lifetime,0,-609.8295867851975,1.0,1.0,-7599.824583621378
DAC,power,EL,0,0.08024258719069129,lifetime,0,-161.153158299806,1.0,1.0,-2008.3245560968267
DAC,power,ES,0,0.08024258719069129,lifetime,0,-334.43608374685,1.0,1.0,-4167.812821788565
DAC,power,FI,0,0.08024258719069129,lifetime,0,-610.1812457872873,1.0,1.0,-7604.207032074268
DAC,power,FR,0,0.08024258719069129,lifetime,0,-593.9186320417516,1.0,1.0,-7401.53891885792
DAC,power,HR,0,0.08024258719069129,lifetime,0,-439.3739411368657,1.0,1.0,-5475.570473478405
DAC,power,HU,0,0.08024258719069129,lifetime,0,-132.61792039661637,1.0,1.0,-1652.7124191728578
DAC,power,IE,0,0.08024258719069129,lifetime,0,-666.2751072475074,1.0,1.0,-8303.26053251683
DAC,power,IT,0,0.08024258719069129,lifetime,0,-336.09035351669127,1.0,1.0,-4188.428679623632
DAC,power,LT,0,0.08024258719069129,lifetime,0,-700.2911610120517,1.0,1.0,-8727.17574955373
DAC,power,LU,0,0.08024258719069129,lifetime,0,-404.79289659974546,1.0,1.0,-5044.614222592069
DAC,power,LV,0,0.08024258719069129,lifetime,0,-712.1885824110352,1.0,1.0,-8875.443917561699
DAC,power,NL,0,0.08024258719069129,lifetime,0,-152.59467401225007,1.0,1.0,-1901.6669246919812
DAC,power,NO,0,0.08024258719069129,lifetime,0,-720.6809943699566,1.0,1.0,-8981.27814170928
DAC,power,PL,0,0.08024258719069129,lifetime,0,-349.76982765999446,1.0,1.0,-4358.9051637728135
DAC,power,PT,0,0.08024258719069129,lifetime,0,-288.1669015462577,1.0,1.0,-3591.196540827476
DAC,power,RO,0,0.08024258719069129,lifetime,0,-401.8023981148979,1.0,1.0,-5007.346001444852
DAC,power,SE,0,0.08024258719069129,lifetime,0,-865.2080157191597,1.0,1.0,-10782.404281943815
DAC,power,SI,0,0.08024258719069129,lifetime,0,-430.81383450259364,1.0,1.0,-5368.892624047535
DAC,power,SK,0,0.08024258719069129,lifetime,0,-465.5969506110415,1.0,1.0,-5802.367133360003
DAC,power,UK,0,0.08024258719069129,lifetime,0,-635.9143833200169,1.0,1.0,-7924.898804780655
EAF,power,AT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,BE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,BG,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,CH,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,CZ,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,DE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
