set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
BEV,power,AT,0,megapkm / hour,13.90508203108651,0.0,0.0,0.0,0.0,0.0
BEV,power,BE,0,megapkm / hour,18.776961214107146,0.0,0.0,0.0,0.0,0.0
BEV,power,BG,0,megapkm / hour,9.802129089110736,0.0,0.0,0.0,0.0,0.0
BEV,power,CH,0,megapkm / hour,16.865081978850327,0.0,0.0,0.0,0.0,0.0
BEV,power,CZ,0,megapkm / hour,13.913456622809298,0.0,0.0,0.0,0.0,0.0
BEV,power,DE,0,megapkm / hour,157.05573618045568,0.0,0.0,0.0,0.0,0.0
BEV,power,DK,0,megapkm / hour,10.756321601397302,0.0,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-2.036858890506444e-12
BEV,power,EE,0,megapkm / hour,2.5552544734382834,0.0,0.0,0.0,0.0,0.0
BEV,power,EL,0,megapkm / hour,18.65319419588287,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,2.024227914370615e-12
BEV,power,ES,0,megapkm / hour,60.244512671435494,0.0,0.0,0.0,0.0,0.0
BEV,power,FI,0,megapkm / hour,11.714497784197198,0.0,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-2.0086267098997325e-12
BEV,power,FR,0,megapkm / hour,136.0325133701021,0.0,0.0,0.0,0.0,0.0
BEV,power,HR,0,megapkm / hour,4.416473965619442,0.0,0.0,0.0,0.0,0.0
BEV,power,HU,0,megapkm / hour,11.349913781394582,0.0,0.0,0.0,0.0,0.0
BEV,power,IE,0,megapkm / hour,10.426036136284782,0.0,0.0,0.0,0.0,0.0
BEV,power,IT,0,megapkm / hour,127.43311861505057,0.0,0.0,0.0,0.0,0.0
BEV,power,LT,0,megapkm / hour,5.329523026109195,0.0,0.0,0.0,0.0,0.0
BEV,power,LU,0,megapkm / hour,1.4212499963189698,0.0,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-2.11161880402868e-12
BEV,power,LV,0,megapkm / hour,2.6779970975274465,0.0,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-1.9772752803431577e-12
BEV,power,NL,0,megapkm / hour,26.283267713397564,0.0,0.0,0.0,0.0,0.0
BEV,power,NO,0,megapkm / hour,11.350904969349564,0.0,0.0,0.0,0.0,0.0
BEV,power,PL,0,megapkm / hour,42.485043435685895,0.0,0.0,0.0,0.0,0.0
BEV,power,PT,0,megapkm / hour,17.37089989933628,0.0,0.0,0.0,0.0,0.0
BEV,power,RO,0,megapkm / hour,19.241507009509146,0.0,0.0,0.0,0.0,0.0
BEV,power,SE,0,megapkm / hour,16.445467556990756,0.0,0.0,9.094947017729282e-13,9.094947017729282e-13,2.032192364953543e-12
BEV,power,SI,0,megapkm / hour,4.818082393646737,0.0,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-2.0479531141682094e-12
BEV,power,SK,0,megapkm / hour,4.910896529259786,0.0,0.0,0.0,0.0,0.0
BEV,power,UK,0,megapkm / hour,127.89809936581476,0.0,0.0,0.0,0.0,0.0
BF_BOF,power,AT,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,BE,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,BG,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,CH,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,CZ,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,DE,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,DK,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,EE,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,EL,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,ES,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,FI,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,FR,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
