constraint,cluster,description,shadow_price_unit,shadow_price,shadow_price_input_units,index_0,index_1,index_2,index_3
constraint_carbon_emissions_annual_limit,CO2_cap,Annual CO2 emissions limit,Euro/tCO2,-244.27408310754927,-244.27408310754927,0,,,
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-200.34902083902563,-200.34902083902563,carbon_storage,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-130.73044032891713,-130.73044032891713,carbon_storage,power,DK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-309.5675684879686,-309.5675684879686,carbon_storage,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-155.37675373686574,-155.37675373686574,carbon_storage,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-182.43599353883982,-182.43599353883982,carbon_storage,power,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-192.0944885449673,-192.0944885449673,carbon_storage,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-80.0535321127534,-80.0535321127534,carbon_storage,power,UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-22.14062676466618,-22.14062676466618,district_heating_grid,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-91.93347867568241,-91.93347867568241,nuclear,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-98.32583234969525,-98.32583234969525,nuclear,power,BG,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-147.79883273660639,-147.79883273660639,nuclear,power,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-172.8440480288819,-172.8440480288819,nuclear,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-55.19872978427887,-55.19872978427887,nuclear,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-100.93595655909024,-100.93595655909024,nuclear,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-122.76977983003877,-122.76977983003877,nuclear,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-34.125752879287816,-34.125752879287816,nuclear,power,SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.9704799522608796,-0.9704799522608796,photovoltaics,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.1314300538759747,-2.1314300538759747,photovoltaics,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-6.032706645638239,-6.032706645638239,photovoltaics,power,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-59.95390141677434,-59.95390141677434,reservoir_hydro,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-240.08296471831065,-240.08296471831065,reservoir_hydro,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-276.02877908160684,-276.02877908160684,reservoir_hydro,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-55.40567613612274,-55.40567613612274,reservoir_hydro,power,ES,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-117.51511998457963,-117.51511998457963,reservoir_hydro,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-140.87279057589137,-140.87279057589137,reservoir_hydro,power,HR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-145.94906986406295,-145.94906986406295,reservoir_hydro,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-56.64469627608197,-56.64469627608197,reservoir_hydro,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-83.28607644026779,-83.28607644026779,reservoir_hydro,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.701293852374547,-5.701293852374547,reservoir_hydro,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-80.66449985478465,-80.66449985478465,reservoir_hydro,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.4804222222544245,-2.4804222222544245,reservoir_hydro,power,SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-69.95459616542513,-69.95459616542513,run-of-river_hydro,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-183.79355462203824,-183.79355462203824,run-of-river_hydro,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-252.86261012553786,-252.86261012553786,run-of-river_hydro,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-40.13642856290261,-40.13642856290261,run-of-river_hydro,power,ES,0.0
