technology,type,is_retrofit,lifetime_yr,capex_2022_EUR_per_kW,capex_energy_EUR_per_kWh,capex_annualized_EUR_per_kW_yr,opex_fixed_EUR_per_kW_yr,opex_variable_EUR_per_MWh,opex_ratio_fixed_div_capex_ann,fuel_input,electricity_input,has_capacity_limit,max_diffusion_rate,rc_reliability
BEV,conversion,no,20.0,8252.0,,662.2,0.0,0.028,0.0,no,yes,no,0.4,high
BF_BOF,conversion,no,20.0,1706619.0,,136943.6,0.0,392.161,0.0,yes,no,no,0.13,low
DAC,conversion,no,20.0,39796669.0,,3193387.7,1588568.03,0.0,0.497,no,yes,no,0.13,medium
EAF,conversion,no,20.0,1847165.0,,148221.3,0.0,548.244,0.0,yes,yes,no,inf,low
H2_DRI,conversion,no,20.0,4156120.0,,333497.9,0.0,340.265,0.0,yes,yes,no,0.13,low
HDT_BET,conversion,no,20.0,561.0,,45.0,0.0,0.013,0.0,no,yes,no,0.29,high
HDT_FCEV,conversion,no,20.0,643.0,,51.6,0.0,0.01,0.0,yes,no,no,0.29,low
HDT_diesel,conversion,no,20.0,231.0,,18.5,0.0,0.01,0.0,yes,no,no,0.29,low
ICE_diesel,conversion,no,20.0,6514.0,,522.7,0.0,0.034,0.0,yes,no,no,0.4,low
ICE_petrol,conversion,no,20.0,5654.0,,453.7,0.0,0.034,0.0,yes,no,no,0.4,low
NG_DRI,conversion,no,20.0,4156120.0,,333497.9,0.0,340.265,0.0,yes,yes,no,0.13,low
SMR,conversion,no,30.0,321.0,,20.9,16.04,0.0,0.769,yes,no,no,0.13,low
ammonia_ICE_ship,conversion,no,30.0,600.0,,39.0,27.0,0.0,0.692,yes,no,no,0.13,low
anaerobic_digestion,conversion,no,20.0,1175.0,,94.3,47.45,0.0,0.503,no,yes,no,0.13,medium
biomass_boiler,conversion,no,20.0,514.0,,41.2,11.25,0.0,0.273,yes,no,no,0.29,low
biomass_boiler_DH,conversion,no,25.0,470.0,,33.4,16.2,1.549,0.485,yes,no,no,0.13,low
biomass_plant,conversion,no,35.0,2600.0,,158.8,53.5,4.853,0.337,yes,no,no,0.13,low
biomass_to_cement_fuel,conversion,no,20.0,1427643243.0,,114557787.4,0.0,0.0,0.0,yes,no,no,0.13,low
biomethane_conversion,conversion,no,20.0,141.0,,11.3,0.0,3.97,0.0,no,no,no,inf,high
carbon_storage,conversion,no,40.0,871620.0,,50796.4,0.0,4.0,0.0,no,no,yes,0.13,high
cement_kiln,conversion,no,20.0,1.0,,0.1,0.0,21.5,0.0,no,yes,no,inf,high
coal_to_cement_fuel,conversion,no,20.0,1363718919.0,,109428334.3,0.0,0.0,0.0,yes,no,no,0.13,low
diesel_ICE_ship,conversion,no,30.0,460.0,,29.9,11.5,0.0,0.384,yes,no,no,0.13,low
district_heating_grid,conversion,no,40.0,483.0,,28.1,0.0,1.5,0.0,no,no,yes,0.13,high
electrode_boiler,conversion,no,30.0,443.0,,28.8,3.08,0.501,0.107,no,yes,no,0.29,high
electrode_boiler_DH,conversion,no,25.0,356.0,,25.2,1.24,0.661,0.049,no,yes,no,0.13,high
electrolysis,conversion,no,27.0,1717.0,,117.2,41.23,1.157,0.352,no,yes,no,0.13,medium
fischer_tropsch,conversion,no,27.0,1227.0,,83.8,28.48,2.708,0.34,yes,yes,no,0.13,low
fuel_cell,conversion,no,15.0,2761.0,,266.0,64.83,6.76,0.244,yes,no,no,inf,low
gasification,conversion,no,15.0,2473.0,,238.3,39.87,2.665,0.167,yes,no,no,0.13,low
haber_bosch,conversion,no,30.0,1684.0,,109.5,52.68,0.025,0.481,yes,yes,no,inf,low
hard_coal_boiler_DH,conversion,no,30.0,219.0,,14.2,2.06,0.809,0.144,yes,no,no,0.13,low
hard_coal_plant,conversion,no,46.0,1787.0,,99.9,31.88,2.738,0.319,yes,no,no,0.1,low
heat_pump,conversion,no,19.0,930.0,,77.0,20.36,0.0,0.265,no,yes,no,0.29,high
heat_pump_DH,conversion,no,25.0,1299.0,,92.2,2.96,1.436,0.032,no,yes,no,0.13,high
hydrogen_FC_ship,conversion,no,15.0,730.0,,70.3,43.8,0.0,0.623,yes,yes,no,0.13,low
hydrogen_to_cement_fuel,conversion,no,20.0,1382896216.0,,110967170.2,0.0,0.0,0.0,yes,no,no,0.13,low
industrial_gas_consumer,conversion,no,100.0,0.0,,0.0,0.0,0.0,,yes,no,no,inf,unknown
lignite_coal_plant,conversion,no,46.0,1964.0,,109.8,40.66,3.833,0.37,yes,no,no,0.1,low
lng_terminal,conversion,no,30.0,112.0,,7.3,0.0,2.48,0.0,no,no,yes,0.13,high
methanation,conversion,no,27.0,692.0,,47.3,29.04,2.978,0.614,yes,no,no,0.13,low
methanol_ICE_ship,conversion,no,30.0,505.0,,32.9,12.62,0.0,0.384,yes,no,no,0.13,low
methanol_from_biomass,conversion,no,25.0,5107.0,,362.4,58.13,20.302,0.16,yes,no,no,0.13,low
methanol_from_hydrogen,conversion,no,30.0,1118.0,,72.7,0.0,0.0,0.0,yes,yes,no,0.13,low
methanol_from_natural_gas,conversion,no,25.0,630.0,,44.7,24.24,0.0,0.542,yes,yes,no,0.13,low
natural_gas_boiler,conversion,no,21.0,487.0,,38.0,17.36,0.0,0.457,yes,no,no,0.29,low
natural_gas_boiler_DH,conversion,no,25.0,93.0,,6.6,2.02,0.598,0.306,yes,no,no,0.13,low
natural_gas_turbine,conversion,no,30.0,786.0,,51.1,21.96,2.863,0.429,yes,no,no,0.13,low
nuclear,conversion,no,55.0,6314.0,,338.8,125.93,5.471,0.372,cheap,no,yes,0.1,medium
oil_boiler,conversion,no,20.0,310.0,,24.9,11.97,0.0,0.481,yes,no,no,0.29,low
oil_boiler_DH,conversion,no,25.0,720.0,,51.1,28.78,2.922,0.563,yes,no,no,0.13,low
oil_plant,conversion,no,32.0,1734.0,,109.7,63.06,8.057,0.575,yes,no,no,0.13,low
oil_to_diesel_conversion,conversion,no,100.0,0.0,,0.0,0.0,0.0,,yes,no,no,inf,unknown
