constraint,cluster,description,shadow_price_unit,shadow_price,shadow_price_input_units,index_0,index_1,index_2,index_3
constraint_carbon_emissions_annual_limit,CO2_cap,Annual CO2 emissions limit,Euro/tCO2,-244.24915111081648,-244.24915111081648,0,,,
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-200.34892083902565,-200.34892083902565,carbon_storage,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-130.73044032891713,-130.73044032891713,carbon_storage,power,DK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-309.5673684879691,-309.5673684879691,carbon_storage,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-155.37675373686568,-155.37675373686568,carbon_storage,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-182.4357935388399,-182.4357935388399,carbon_storage,power,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-192.09418854496727,-192.09418854496727,carbon_storage,power,RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-80.05353211275357,-80.05353211275357,carbon_storage,power,UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-22.134766803676403,-22.134766803676403,district_heating_grid,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-91.75864854577765,-91.75864854577765,nuclear,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-98.32085093541109,-98.32085093541109,nuclear,power,BG,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-147.61498484638548,-147.61498484638548,nuclear,power,CH,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-172.66722741895052,-172.66722741895052,nuclear,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-55.14248265288284,-55.14248265288284,nuclear,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.03462418418891389,-0.03462418418891389,nuclear,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-100.8740761458595,-100.8740761458595,nuclear,power,RO,0.0
