capex_euro_per_kw,node,year,built_gw,rc_euro_per_kw,rc_per_kw_eff
1133,CH,0,0.0,3.241851231905457e-13,9.262432091158544e-13
1133,CH,1,0.0,1120.936973690195,3202.677067686304
1133,CH,2,0.0,1120.9369736901951,3202.677067686305
1133,CH,3,0.0,1120.936973690195,3202.677067686304
1133,CH,4,0.0,1120.936973690195,3202.677067686304
1133,CH,5,0.0,1120.936973690195,3202.677067686304
1133,DE,0,0.0,492.93135222213255,1408.3752920632503
1133,DE,1,0.0,404.53953298311836,1155.8272370946356
1133,DE,2,0.0,197.79332643706934,565.1237898202039
1133,DE,3,0.0,865.2698505248267,2472.1995729281016
1133,DE,4,0.0,865.2698505248267,2472.1995729281016
1133,DE,5,0.0,865.2698505248267,2472.1995729281016
1000,CH,0,0.0,938.8868433302664,2682.533838086503
1000,CH,1,0.0,987.9369736901948,2822.6770676863
1000,CH,2,0.0,987.9369736901949,2822.6770676863002
1000,CH,3,0.0,987.9369736901948,2822.6770676863
1000,CH,4,0.0,987.9369736901948,2822.6770676863
1000,CH,5,0.0,987.9369736901948,2822.6770676863
1000,DE,0,0.0,424.27593026263975,1212.2169436075544
1000,DE,1,0.0,351.1592822377058,1003.3122349648839
1000,DE,2,0.0,167.39065795142412,478.2590227183595
1000,DE,3,0.0,732.2698505248266,2092.199572928097
1000,DE,4,0.0,732.2698505248267,2092.1995729280975
1000,DE,5,0.0,732.2698505248266,2092.199572928097
900,CH,0,0.0,838.8868433302665,2396.8195523722147
900,CH,1,0.0,887.9369736901948,2536.9627819720113
900,CH,2,0.0,887.936973690195,2536.9627819720117
900,CH,3,0.0,887.9369736901948,2536.9627819720113
900,CH,4,0.0,887.9369736901948,2536.9627819720113
900,CH,5,0.0,887.9369736901948,2536.9627819720113
900,DE,0,0.0,282.01144457131517,805.7469844894802
900,DE,1,0.0,198.86135977718516,568.1753136491062
900,DE,2,0.0,1.6209256159527285e-13,4.631216045579272e-13
900,DE,3,0.0,609.027257114559,1740.0778774701864
900,DE,4,0.0,456.89960782116833,1305.427450917637
900,DE,5,0.0,0.0,0.0
800,CH,0,0.0,787.9369736901948,2251.2484962577223
800,CH,1,0.0,787.9369736901948,2251.2484962577223
800,CH,2,0.0,787.9369736901949,2251.2484962577228
800,CH,3,0.0,787.9369736901948,2251.2484962577223
800,CH,4,0.0,787.9369736901948,2251.2484962577223
800,CH,5,0.0,787.9369736901948,2251.2484962577223
800,DE,0,0.0,787.9369736901948,2251.2484962577223
800,DE,1,0.0,787.9369736901948,2251.2484962577223
800,DE,2,0.0,787.9369736901949,2251.2484962577228
800,DE,3,0.0,787.9369736901948,2251.2484962577223
800,DE,4,0.0,787.9369736901948,2251.2484962577223
800,DE,5,0.0,787.9369736901948,2251.2484962577223
700,CH,0,0.0,484.7706009772148,1385.0588599349137
700,CH,1,0.0,436.53963540649187,1247.256101161418
700,CH,2,0.0,363.9885023725293,1039.9671496358087
700,CH,3,0.0,242.79620041409194,693.7034297545555
700,CH,4,0.0,0.0,0.0
700,CH,5,0.0,8.104628079763643e-14,2.315608022789636e-13
700,DE,0,0.0,435.72047061728637,1244.9156303351167
700,DE,1,0.0,436.53963540649187,1247.256101161418
700,DE,2,0.0,363.9885023725293,1039.9671496358087
700,DE,3,0.0,242.79620041409194,693.7034297545555
700,DE,4,0.0,0.0,0.0
700,DE,5,0.0,687.9369736901949,1965.534210543434
